participant_id,session_id,turn_number,condition,synchrony_lsm,synchrony_embedding,stability_score,coherence_score,user_style_vector,bot_style_vector
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,1,static,0.5,0.7270164489746094,,-0.0925112970536443,"[0.9962934851646423, 0, 1.0, 121.22, 0, 0, 0, 0]","[0.000700410280842334, 0.9375, 13.0, 70.09, 0, 0, 0, 0.3333333333333333]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,2,static,0.5,0.6496898531913757,0.3793615056915139,-0.0613254044239786,"[0.9951145648956299, 0.296, 4.0, 34.59, 0, 0, 0, 0.25]","[0.001780649647116661, 0.6312, 7.5, 90.97, 0, 0, 0, 0.26666666666666666]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,3,static,0.5,0.6833422183990479,0.7534357310762317,-0.6833340571460638,"[0.9953911304473877, 0.6249, 2.0, 77.91, 0, 0, 0, 0]","[0.0017591251526027918, 0.8172, 10.666666666666666, 68.77, 0, 0, 0, 0.25]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,4,static,0.5671378910062431,0.5352814793586731,0.3274053332203694,-0.7388896280511505,"[0.9735047817230225, 0.2732, 9.5, 63.36, 0, 0, 0, 0.3684210526315789]","[0.00039518284029327333, 0.7959, 10.333333333333334, 36.96, 0, 0, 0, 0.3225806451612903]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,5,static,0.5,0.6895331144332886,0.9173736071760662,-0.5198894725579883,"[0.9954698085784912, 0.4019, 1.0, 121.22, 0, 0, 0, 0]","[0.0004116665222682059, 0.8826, 10.333333333333334, 49.31, 0, 0, 0, 0.3548387096774194]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,6,static,0.5,0.5554788708686829,0.4810714634971338,0.4676122382827621,"[0.9813036918640137, 0.2732, 4.0, -8.73, 0, 0, 0, 0]","[0.0004389819223433733, 0.8464, 13.333333333333334, 68.06, 0, 0, 0, 0.375]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,7,static,0.4955940514672297,0.5416068434715271,0.0473544948401878,0.6868685658177233,"[0.9928205609321594, -0.1027, 19.0, 86.03, 0, 0, 0, 0.47368421052631576]","[0.0005788705311715603, 0.5423, 21.0, 71.14, 0, 0, 0, 0.4126984126984127]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,8,static,0.6183766723995872,0.5554099082946777,0.3245244075509987,0.5933683860422081,"[0.9951230883598328, 0.3182, 15.0, 92.12, 0, 0, 0, 0.4666666666666667]","[0.00042581328307278454, 0.8555, 14.25, 67.25, 0, 0, 0, 0.38596491228070173]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,9,static,0.7383651513889483,0.5391333699226379,-0.291643347779547,-0.7604879457156044,"[0.9982103109359741, 0.4019, 15.0, 74.19, 0, 0, 0, 0.4666666666666667]","[0.0004267304902896285, 0.7845, 15.333333333333334, 49.11, 0, 0, 0, 0.30434782608695654]"
665ba6320399db768cb43621,c02acf37-af1c-4127-9329-163af75d67be,10,static,0.4874905008031128,0.4732785224914551,0.6533375859785099,-0.957513979153048,"[0.9962944388389587, 0.4019, 7.0, 90.77, 0, 0, 0, 0.2857142857142857]","[0.00045762359513901174, 0.8268, 13.0, 59.6, 0, 0, 0, 0.28205128205128205]"
